Student_id,Aptitude,English,Quantitative,Analytical,Domain,Computer Fundamental,Coding,Score/700,10 th %,12 th %,Placement Status
S_140,53,45,55,60,47,33,11,304,80,77,0
S_141,50,55,40,55,23,60,11,294,85,80,1
S_142,50,50,40,60,47,27,0,274,85,80,0
S_143,50,55,45,50,50,13,0,263,85,93,1
S_144,48,70,15,60,40,13,0,246,92,82,1
S_145,47,60,30,50,30,40,0,257,80,78,0
S_146,47,35,45,60,43,40,0,270,78,75,0
S_147,65,70,55,70,23,33,0,316,90,87,1
S_148,63,60,65,65,43,53,11,360,82,80,1
S_149,62,85,55,45,50,33,11,341,76,90,1
S_150,62,50,75,60,53,33,11,344,88,77,1
S_151,58,60,45,70,47,40,0,320,93,83,1
S_152,57,65,60,45,43,60,0,330,83,87,1
S_153,55,50,45,70,40,33,0,293,93,84,1
S_154,53,65,30,65,37,33,10,293,82,85,1
S_155,52,75,25,55,30,33,10,280,88,77,1
S_156,50,60,20,70,23,33,0,256,80,84,1
S_157,50,65,25,60,33,33,0,266,78,77,1
S_158,50,65,35,50,23,53,0,276,84,78,1
S_159,48,50,35,60,47,40,0,280,82,82,1
S_160,47,35,55,50,30,27,11,255,80,75,0
S_161,47,60,25,55,30,33,0,250,89,76,1
S_162,52,55,45,55,53,40,0,300,86,87,1
S_163,63,75,45,70,20,53,11,337,82,88,1
S_164,48,60,35,50,27,33,11,264,78,76,1
S_165,43,50,35,45,33,40,0,246,88,78,1
S_166,47,55,40,45,37,33,0,257,78,77,1
S_167,62,50,60,75,47,47,11,352,89,90,1
S_168,57,70,45,55,27,27,11,292,81,80,0
S_169,53,45,65,50,50,47,11,321,78,79,0
S_170,50,65,20,65,30,40,0,270,91,85,1
S_171,50,65,45,40,53,33,0,286,78,77,0
S_172,50,50,45,55,27,27,0,254,88,84,1
S_173,48,60,40,45,23,67,11,294,90,76,1
S_174,45,65,30,40,43,20,11,254,77,81,0
S_175,45,65,40,30,37,47,0,264,84,81,0
S_176,45,60,25,50,30,33,11,254,76,80,1
S_177,38,55,15,45,43,20,0,216,86,94,1
S_178,70,75,65,70,20,47,0,347,96,89,1
S_179,62,55,65,65,43,33,0,323,82,78,1
S_180,57,70,45,55,37,47,0,311,94,88,1
S_181,55,50,60,55,27,27,0,274,76,91,1
S_182,52,60,45,50,37,33,0,277,85,93,1
S_183,52,55,45,55,37,33,11,288,96,84,1
S_184,50,70,30,50,33,27,0,260,79,81,1
S_185,50,50,55,45,50,33,54,337,79,80,1
S_186,48,65,35,45,30,47,11,281,87,78,1
S_187,48,60,30,55,23,13,0,229,79,90,1
S_188,48,50,35,60,33,40,0,266,84,76,1
S_189,48,45,50,50,20,20,0,233,75,78,0
S_190,45,60,25,50,67,27,0,274,78,79,1
S_191,45,50,20,65,27,40,0,247,96,81,1
S_192,43,35,50,45,33,20,0,226,77,78,0
S_193,42,30,35,60,23,40,11,241,83,76,0
S_194,70,65,70,75,37,53,0,370,92,92,1
S_195,70,80,65,65,40,60,11,391,77,86,1
S_196,65,60,60,75,40,40,0,340,76,94,1
S_197,60,85,25,70,23,20,0,283,77,76,0
S_198,58,50,60,65,30,40,0,303,93,77,1
S_199,57,55,35,80,40,60,11,338,82,80,1
S_200,57,45,60,65,33,27,11,298,79,79,0
S_201,55,60,35,70,30,20,0,270,78,78,0
S_202,55,65,40,60,37,33,0,290,84,94,1
S_203,55,75,30,60,50,40,0,310,76,77,0
S_204,52,55,40,60,30,33,0,270,87,92,1
S_205,50,80,40,30,33,47,11,291,79,78,0
S_206,50,50,40,60,43,53,0,296,82,76,1
S_207,48,50,20,75,27,13,11,244,77,87,1
S_208,47,55,10,75,37,40,0,264,81,79,0
S_209,45,50,20,65,30,40,11,261,94,92,1
S_210,45,50,35,50,50,47,0,277,89,86,1
S_211,43,45,45,40,23,40,0,236,80,79,0
S_212,43,50,20,60,30,53,0,256,91,93,1
S_213,40,50,20,50,40,27,0,227,90,76,1
S_214,40,50,25,45,33,27,11,231,93,94,1
S_215,40,70,25,25,30,20,11,221,78,76,0
S_216,38,40,45,30,40,47,0,240,86,79,0
S_217,38,45,5,65,23,40,0,216,85,75,0
S_218,38,50,15,50,47,40,0,240,83,79,1
S_219,50,70,30,50,33,27,0,260,77,75,0
S_220,67,75,35,90,43,47,11,368,90,86,1
S_221,60,70,60,50,40,33,0,313,94,76,1
S_222,60,50,75,55,30,53,11,334,89,94,1
S_223,58,40,60,75,30,47,0,310,77,80,0
S_224,57,60,30,80,37,47,0,311,85,77,0
S_225,52,55,45,55,50,33,0,290,75,83,1
S_226,52,50,50,55,37,33,0,277,83,91,1
S_227,63,60,60,70,37,60,11,361,91,85,1
S_228,62,80,35,70,53,40,0,340,83,75,1
S_229,62,65,60,60,50,60,0,357,80,86,1
S_230,62,60,60,65,30,47,33,357,93,82,1
S_231,60,55,60,65,53,33,0,326,90,91,1
S_232,58,55,35,85,47,40,0,320,89,94,1
S_233,57,50,60,60,40,40,0,307,77,93,1
S_234,55,60,50,55,23,33,0,276,75,78,1
S_235,53,45,60,55,30,47,0,290,86,77,0
S_236,53,55,40,65,30,53,11,307,86,83,1
S_237,53,60,55,45,23,47,0,283,80,84,1
S_238,53,40,45,75,43,40,0,296,77,81,0
S_239,48,50,50,45,37,40,0,270,86,85,1
S_240,72,90,65,60,70,47,0,404,77,77,1
S_241,67,65,85,50,33,33,0,333,82,94,1
S_242,63,60,65,65,50,20,0,323,93,92,1
S_243,63,70,35,85,70,47,0,370,88,90,1
S_244,62,70,50,65,37,33,0,317,83,81,1
S_245,55,55,60,50,50,47,0,317,79,93,1
S_246,53,35,60,65,40,40,0,293,80,81,0
S_247,53,55,35,70,43,40,0,296,86,75,1
S_248,53,65,40,55,37,33,0,283,80,90,1
S_249,52,55,40,60,27,53,0,287,77,93,1
S_250,50,50,35,65,67,53,11,331,93,89,1
S_251,50,60,20,70,40,27,0,267,89,89,1
S_252,64,73,47,73,55,53,20,385,83,79,0
S_253,64,67,60,67,60,27,20,365,96,90,1
S_254,64,73,47,73,55,20,0,332,86,94,1
S_255,64,60,73,60,55,40,20,372,81,80,1
S_256,60,67,53,60,65,33,0,338,91,92,1
S_257,64,73,40,80,40,40,0,337,90,89,1
S_258,69,73,67,67,45,33,20,374,85,75,0
S_259,64,73,67,53,75,27,0,359,78,77,1
S_260,60,67,40,73,55,40,0,335,82,87,1
S_261,64,73,67,53,15,20,20,312,96,91,1
S_262,58,60,47,67,70,20,0,322,85,78,1
S_263,56,73,33,60,45,53,20,340,94,89,1
S_264,58,73,40,60,35,33,0,299,87,94,1
S_265,51,47,47,60,65,53,20,343,80,77,0
S_266,56,60,40,67,65,33,0,321,95,88,1
S_267,56,47,60,60,55,33,20,331,85,79,0
S_268,53,67,40,53,50,33,0,296,94,89,1
S_269,53,73,47,40,35,20,0,268,77,79,0
S_270,51,67,33,53,25,53,0,282,80,92,1
S_271,58,67,40,67,60,73,92,457,76,78,1
S_272,53,53,47,60,25,60,60,358,82,80,1
S_273,64,73,67,53,35,40,0,332,82,80,0
S_274,16,13,7,27,35,13,0,111,83,77,0
S_275,60,80,53,47,10,33,88,371,87,79,0
S_276,69,67,93,47,65,40,20,401,78,75,1
S_277,64,93,33,67,25,33,0,315,76,90,1
S_278,58,53,60,60,75,20,20,346,85,76,0
S_279,53,60,33,67,35,53,100,401,86,92,1
S_280,56,80,33,53,50,33,0,305,85,83,1
S_281,58,67,53,53,35,27,0,293,92,89,1
S_282,64,73,47,73,40,0,0,297,86,81,0
S_283,53,60,47,53,35,27,20,295,85,85,1
S_284,51,67,40,47,30,27,0,262,87,92,1
S_285,51,67,33,53,40,47,0,291,84,81,1
S_286,62,67,73,47,30,20,0,299,95,80,1
S_287,58,60,53,60,45,33,100,409,92,80,1
S_288,49,47,40,60,60,33,0,289,85,79,0
S_289,53,67,33,60,40,40,0,293,95,84,1
S_290,49,67,33,47,45,33,0,274,81,75,1
S_291,47,60,27,53,75,47,0,309,88,76,1
S_292,51,67,40,47,55,47,0,307,79,80,0
S_293,49,60,27,60,30,33,0,259,84,76,1
S_294,47,53,33,53,25,20,0,231,85,79,0
S_295,42,40,20,67,45,33,0,247,76,80,0
S_296,24,33,20,20,30,20,0,147,85,81,0
S_297,64,87,53,53,40,33,20,350,76,75,1
S_298,56,47,47,73,55,47,0,325,85,81,0
S_299,53,67,33,60,65,20,20,318,81,75,1
S_300,56,60,33,73,35,20,0,277,90,75,1
S_301,51,53,53,47,50,60,0,314,78,76,0
S_302,49,73,27,47,45,33,0,274,85,83,1
S_303,51,60,27,67,45,60,0,310,82,88,1
S_304,53,60,40,60,25,27,0,265,77,82,1
S_305,49,67,33,47,30,13,0,239,75,86,1
S_306,47,67,20,53,40,33,0,260,88,88,1
S_307,47,60,27,53,25,33,20,265,92,89,1
S_308,47,60,27,53,35,0,0,222,86,78,1
S_309,64,67,67,60,30,67,0,355,83,83,1
S_310,67,80,47,73,40,40,0,347,78,81,0
S_311,60,60,53,67,35,40,0,315,82,88,1
S_312,67,60,67,73,50,53,0,370,95,89,1
S_313,56,73,27,67,45,40,0,308,93,80,1
S_314,53,67,33,60,35,20,0,268,94,90,1
S_315,51,60,47,47,40,40,0,285,80,92,1
S_316,51,80,33,40,40,40,0,284,75,78,0
S_317,47,53,20,67,25,47,0,259,78,75,0
S_318,67,80,33,87,35,53,20,375,75,75,0
S_319,62,80,53,53,45,33,0,326,79,91,1
S_320,64,87,33,73,20,27,0,304,79,94,1
S_321,56,47,53,67,60,40,20,343,76,77,0
S_322,67,67,53,80,15,27,0,309,90,82,1
S_323,56,67,27,73,45,33,0,301,80,89,1
S_324,53,67,47,47,35,53,0,302,75,94,1
S_325,51,67,20,67,35,13,20,273,94,80,1
S_326,49,60,33,53,20,13,0,228,82,87,1
S_327,47,67,20,53,25,47,20,279,88,82,1
S_328,9,13,0,13,35,7,0,77,81,78,0
S_329,62,67,60,60,40,20,0,309,75,76,0
S_330,47,73,20,47,55,47,0,289,79,81,0
S_331,47,47,27,67,60,67,0,315,82,76,0
S_332,49,67,47,33,45,20,0,261,77,76,0
S_333,58,67,53,53,20,13,0,264,77,76,0
S_334,18,7,13,33,30,20,0,121,87,80,0
S_335,84,87,93,73,65,53,100,555,80,79,1
S_336,78,67,87,80,50,60,97,519,75,79,1
S_337,67,87,47,67,70,73,90,501,83,80,1
S_338,71,67,73,73,60,53,100,497,91,81,1
S_339,78,67,80,87,45,47,90,494,77,83,1
S_340,60,73,40,67,60,60,100,460,96,82,1
S_341,60,67,47,67,50,40,100,431,91,93,1
S_342,73,87,40,93,40,47,52,432,85,81,0
S_343,80,93,87,60,80,27,0,427,85,80,0
S_344,62,80,47,60,60,33,60,402,87,86,1
S_345,69,67,73,67,55,60,60,451,86,89,1
S_346,56,47,53,67,70,67,88,448,88,75,1
S_347,58,73,40,60,60,53,96,440,85,88,1
S_348,56,47,47,73,35,53,100,411,88,87,1
S_349,56,40,60,67,45,60,56,384,82,76,0
S_350,62,60,80,47,65,40,0,354,79,78,0
S_351,51,53,33,67,35,60,94,393,86,90,1
S_352,40,40,27,53,15,47,0,222,81,78,0
S_353,38,53,40,20,50,33,0,234,81,80,0
S_354,33,20,53,27,45,20,0,198,85,79,0
S_355,27,33,0,47,55,33,0,195,84,76,0
S_356,71,67,73,73,60,33,94,471,80,94,1
S_357,78,80,73,80,55,67,60,493,90,78,1
S_358,62,40,73,73,45,67,100,460,80,79,0
S_359,67,80,60,60,65,60,60,452,81,93,1
S_360,76,73,67,87,65,40,20,428,87,78,0
S_361,64,73,33,87,80,53,0,390,85,78,0
S_362,60,60,60,60,35,47,60,382,90,76,1
S_363,67,67,60,73,30,33,60,390,76,75,1
S_364,56,47,47,73,35,53,60,371,92,75,1
S_365,53,53,33,73,25,40,60,337,79,76,1
S_366,60,73,47,60,35,40,60,375,84,76,1
S_367,22,47,7,13,30,40,0,159,83,76,0
S_368,64,93,40,60,60,47,60,424,82,77,1
S_369,58,80,33,60,35,40,60,366,75,75,1
S_370,64,47,80,67,35,60,60,413,93,93,1
S_371,62,67,53,67,55,67,60,431,75,76,1
S_372,71,67,80,67,45,40,0,370,85,79,0
S_373,60,67,53,60,15,53,0,308,89,91,1
S_374,64,47,67,80,40,40,0,338,79,78,0
S_375,58,47,60,67,35,13,0,280,77,79,0
S_376,49,60,33,53,40,40,0,275,79,77,1
S_377,16,13,20,13,25,13,0,100,84,81,0
S_378,56,53,53,60,45,73,96,436,96,85,1
S_379,62,67,33,87,50,53,98,450,94,78,1
S_380,64,73,60,60,25,20,20,322,77,77,0
S_381,56,67,27,73,45,33,0,301,87,84,1
S_382,62,60,80,47,35,27,0,311,89,94,1
S_383,56,60,33,73,40,40,0,302,89,89,1
S_384,60,80,20,80,35,33,0,308,79,81,0
S_385,60,67,47,67,30,27,0,298,83,93,1
S_386,71,80,47,87,50,47,60,442,89,94,1
S_387,62,73,53,60,40,67,98,453,77,78,1
S_388,67,80,60,60,65,60,60,452,95,83,1
S_389,69,80,80,47,60,80,20,436,82,77,0
S_390,58,53,53,67,25,53,60,369,93,88,1
S_391,64,73,60,60,50,40,20,367,87,81,0
S_392,62,73,33,80,40,20,0,308,86,79,0
S_393,53,53,33,73,25,40,60,337,93,80,1
S_394,22,20,20,27,40,33,0,162,79,81,0
S_395,64,93,40,60,60,47,60,424,79,86,1
S_396,62,67,60,60,40,53,94,436,77,86,1
S_397,64,80,40,73,50,60,57,424,81,79,0
S_398,62,67,53,67,55,67,60,431,90,83,1
S_399,56,60,40,67,45,47,56,371,96,93,1
S_400,64,73,40,80,40,40,0,337,93,89,1
S_401,64,87,40,67,30,27,0,315,95,91,1
S_402,67,87,53,60,60,40,0,367,94,85,1
S_403,60,67,60,53,70,33,20,363,90,81,1
S_404,64,73,67,53,75,27,0,359,79,85,1
S_405,60,67,40,73,55,40,0,335,83,89,1
S_406,58,53,67,53,40,53,20,344,86,81,0
S_407,60,60,40,80,50,33,0,323,90,79,1
S_408,56,53,40,73,60,53,20,355,79,77,0
S_409,56,87,27,53,45,40,20,328,76,86,1
S_410,53,53,53,53,60,60,20,352,77,76,0
S_411,56,60,40,67,65,33,0,321,92,94,1
S_412,58,60,53,60,55,40,20,346,94,78,1
S_413,58,80,33,60,35,27,0,293,86,83,1
S_414,60,47,73,60,25,40,0,305,83,77,0
S_415,56,60,33,73,25,33,20,300,83,78,1
S_416,58,67,33,73,30,33,0,294,90,78,1
S_417,53,67,40,53,50,33,0,296,82,93,1
S_418,56,53,60,53,35,53,20,330,80,76,0
S_419,60,73,40,67,40,33,0,313,82,81,0
S_420,51,67,40,47,50,53,0,308,87,79,1
S_421,47,33,40,67,65,27,60,339,87,80,0
S_422,49,47,27,73,50,53,20,319,79,80,0
S_423,58,67,40,67,60,73,92,457,90,78,1
S_424,67,80,53,67,35,53,0,355,79,76,0
S_425,56,60,47,60,45,53,60,381,82,85,1
S_426,60,80,53,47,10,33,88,371,85,77,0
S_427,73,80,67,73,45,40,20,398,83,76,0
S_428,64,80,47,67,45,40,0,343,93,90,1
S_429,69,67,93,47,65,40,20,401,81,89,1
S_430,67,60,47,93,35,60,0,362,96,75,1
S_431,60,60,47,73,70,27,0,337,92,78,1
S_432,60,60,67,53,45,53,20,358,84,90,1
S_433,53,60,33,67,35,53,100,401,92,76,1
S_434,58,67,53,53,35,27,0,293,96,92,1
S_435,53,60,47,53,35,27,20,295,88,84,1
S_436,51,67,40,47,30,27,0,262,77,76,1
S_437,58,67,67,40,35,40,20,327,79,76,0
S_438,51,67,40,47,40,20,0,265,83,79,1
S_439,51,53,40,60,50,27,0,281,75,78,0
S_440,62,67,73,47,30,20,0,299,95,78,1
S_441,53,80,33,47,40,47,20,320,81,75,0
S_442,53,60,40,60,30,20,0,263,82,79,1
S_443,49,53,40,53,25,40,36,296,75,80,0
S_444,47,60,20,60,35,27,20,269,83,78,1
S_445,49,53,40,53,35,40,0,270,80,78,0
S_446,53,67,33,60,40,40,0,293,84,85,1
S_447,49,60,40,47,50,40,0,286,96,78,1
S_448,47,60,27,53,75,47,0,309,93,87,1
S_449,60,80,40,60,30,20,0,290,90,92,1
S_450,49,60,27,60,30,33,0,259,75,92,1
S_451,47,80,33,27,35,33,0,255,83,81,0
S_452,58,87,47,40,35,20,0,287,83,76,0
S_453,53,67,33,60,65,20,20,318,85,87,1
S_454,60,73,40,67,20,20,0,280,75,80,0
S_455,56,60,33,73,35,20,0,277,86,75,1
S_456,51,60,27,67,45,60,0,310,76,94,1
S_457,53,73,33,53,30,20,0,262,84,75,1
S_458,64,60,87,47,65,47,100,470,92,83,1
S_459,67,60,67,73,50,53,0,370,82,75,1
S_460,44,60,27,47,20,40,0,238,86,84,1
S_461,58,60,33,80,35,53,0,319,86,79,1
S_462,58,73,47,53,30,40,20,321,80,76,1
S_463,67,67,53,80,15,27,0,309,93,76,1
S_464,62,73,60,53,30,47,0,325,83,77,1
S_465,56,67,27,73,45,33,0,301,87,84,1
S_466,62,60,80,47,35,27,0,311,89,94,1
S_467,56,60,33,73,40,40,0,302,89,89,1
S_468,60,80,20,80,35,33,0,308,79,81,0
S_469,60,67,47,67,30,27,0,298,83,93,1
S_470,71,80,47,87,50,47,60,442,89,94,1
S_471,62,73,53,60,40,67,98,453,77,78,1
S_472,56,60,40,67,45,47,56,371,96,93,1
S_473,64,73,40,80,40,40,0,337,93,89,1
S_474,64,87,40,67,30,27,0,315,95,91,1
S_475,67,87,53,60,60,40,0,367,94,85,1
S_476,60,67,60,53,70,33,20,363,90,81,1
S_477,64,73,67,53,75,27,0,359,79,85,1
S_478,60,67,40,73,55,40,0,335,83,89,1
S_479,58,53,67,53,40,53,20,344,86,81,0
S_480,60,60,40,80,50,33,0,323,90,79,1
S_481,56,53,40,73,60,53,20,355,79,77,0
S_482,56,87,27,53,45,40,20,328,76,86,1
S_483,53,53,53,53,60,60,20,352,77,76,0
S_484,56,60,40,67,65,33,0,321,92,94,1
S_485,58,60,53,60,55,40,20,346,94,78,1
S_486,58,80,33,60,35,27,0,293,86,83,1
S_487,60,47,73,60,25,40,0,305,83,77,0
S_488,56,60,33,73,25,33,20,300,83,78,1
S_489,58,67,33,73,30,33,0,294,90,78,1
S_490,53,67,40,53,50,33,0,296,82,93,1
S_491,56,53,60,53,35,53,20,330,80,76,0
S_492,60,73,40,67,40,33,0,313,82,81,0
S_493,51,67,40,47,50,53,0,308,87,79,1
S_494,47,33,40,67,65,27,60,339,87,80,0
S_495,49,47,27,73,50,53,20,319,79,80,0
S_496,58,67,40,67,60,73,92,457,90,78,1
S_497,67,80,53,67,35,53,0,355,79,76,0
S_498,56,60,47,60,45,53,60,381,82,85,1
S_499,60,80,53,47,10,33,88,371,85,77,0
S_500,73,80,67,73,45,40,20,398,83,76,0
S_501,64,80,47,67,45,40,0,343,93,90,1
S_502,69,67,93,47,65,40,20,401,81,89,1
S_503,67,60,47,93,35,60,0,362,96,75,1
S_504,60,60,47,73,70,27,0,337,92,78,1
S_505,60,60,67,53,45,53,20,358,84,90,1
S_506,53,60,33,67,35,53,100,401,92,76,1
S_507,58,67,53,53,35,27,0,293,96,92,1
S_508,53,60,47,53,35,27,20,295,88,84,1
S_509,51,67,40,47,30,27,0,262,77,76,1
S_510,58,67,67,40,35,40,20,327,79,76,0
S_511,51,67,40,47,40,20,0,265,83,79,1
S_512,51,53,40,60,50,27,0,281,75,78,0
S_513,62,67,73,47,30,20,0,299,95,78,1
S_514,53,80,33,47,40,47,20,320,81,75,0
S_515,53,60,40,60,30,20,0,263,82,79,1
S_516,49,53,40,53,25,40,36,296,75,80,0
S_517,47,60,20,60,35,27,20,269,83,78,1
S_518,49,53,40,53,35,40,0,270,80,78,0
S_519,53,67,33,60,40,40,0,293,84,85,1
S_520,49,60,40,47,50,40,0,286,96,78,1
S_521,47,60,27,53,75,47,0,309,93,87,1
S_522,60,80,40,60,30,20,0,290,90,92,1
S_523,49,60,27,60,30,33,0,259,75,92,1
S_524,47,80,33,27,35,33,0,255,83,81,0
S_525,58,87,47,40,35,20,0,287,83,76,0
S_526,53,67,33,60,65,20,20,318,85,87,1
S_527,60,73,40,67,20,20,0,280,75,80,0
S_528,56,60,33,73,35,20,0,277,86,75,1
S_529,51,60,27,67,45,60,0,310,76,94,1
S_530,53,73,33,53,30,20,0,262,84,75,1
S_531,64,60,87,47,65,47,100,470,92,83,1
S_532,67,60,67,73,50,53,0,370,82,75,1
S_533,44,60,27,47,20,40,0,238,86,84,1
